timestamp: ADC HeartRate4sAverage HeartRate30sAverage HRV8sAverage
1477480562.836:    156  78  10  766
1477480562.836:    111  78  10  766
1477480562.837:     75  78  10  766
1477480562.844:     36  78  10  766
1477480562.845:    -22  78  10  766
1477480562.846:   -100  78  10  766
1477480562.859:   -188  78  10  766
1477480562.861:   -278  78  10  766
1477480562.861:   -374  78  10  766
1477480562.861:   -486  78  10  766
1477480562.862:   -613  78  10  766
1477480562.862:   -742  78  10  766
1477480562.862:   -863  78  10  766
1477480562.862:   -978  78  10  766
1477480562.862:  -1099  78  10  766
1477480562.864:  -1227  78  10  766
1477480562.865:  -1351  78  10  766
1477480562.871:  -1456  78  10  766
1477480562.879:  -1537  78  10  766
1477480562.880:  -1603  78  10  766
1477480562.880:  -1663  78  10  766
1477480562.881:  -1714  78  10  766
1477480562.882:  -1750  78  10  766
1477480562.884:  -1763  78  10  766
1477480562.884:  -1753  78  10  766
1477480562.885:  -1725  78  10  766
1477480562.900:  -1682  78  10  766
1477480562.901:  -1626  78  10  766
1477480562.902:  -1557  78  10  766
1477480562.902:  -1478  78  10  766
1477480562.903:  -1393  78  10  766
1477480562.904:  -1307  78  10  766
1477480562.904:  -1225  78  10  766
1477480562.905:  -1144  78  10  766
1477480562.905:  -1061  78  10  766
1477480562.906:   -973  78  10  766
1477480562.907:   -881  78  10  766
1477480562.907:   -794  78  10  766
1477480562.912:   -717  78  10  766
1477480562.913:   -647  78  10  766
1477480562.914:   -574  78  10  766
1477480562.914:   -495  78  10  766
1477480562.916:   -415  78  10  766
1477480562.920:   -346  78  10  766
1477480562.921:   -295  78  10  766
1477480562.924:   -256  78  10  766
1477480562.940:   -216  78  10  766
1477480562.941:   -171  78  10  766
1477480562.942:   -128  78  10  766
1477480562.942:    -96  78  10  766
1477480562.943:    -76  78  10  766
1477480562.944:    -61  78  10  766
1477480562.945:    -39  78  10  766
1477480562.945:    -14  78  10  766
1477480563.023:      7  78  10  766
1477480563.024:     17  78  10  766
1477480563.024:     16  78  10  766
1477480563.024:     12  78  10  766
1477480563.024:     15  78  10  766
1477480563.024:     21  78  10  766
1477480563.025:     23  78  10  766
1477480563.025:     12  78  10  766
1477480563.025:    -13  78  10  766
1477480563.025:    -40  78  10  766
1477480563.025:    -58  78  10  766
1477480563.025:    -64  78  10  766
1477480563.025:    -65  78  10  766
1477480563.026:    -70  78  10  766
1477480563.026:    -80  78  10  766
1477480563.027:    -91  78  10  766
1477480563.028:    -97  78  10  766
1477480563.028:    -98  78  10  766
1477480563.044:    -96  78  10  766
1477480563.044:    -93  78  10  766
1477480563.044:    -94  78  10  766
1477480563.044:   -103  78  10  766
1477480563.045:   -121  78  10  766
1477480563.045:   -143  78  10  766
1477480563.045:   -157  78  10  766
1477480563.045:   -160  78  10  766
1477480563.045:   -158  78  10  766
1477480563.045:   -157  78  10  766
1477480563.046:   -155  78  10  766
1477480563.046:   -148  78  10  766
1477480563.046:   -133  78  10  766
1477480563.046:   -116  78  10  766
1477480563.046:   -101  78  10  766
1477480563.047:    -90  78  10  766
1477480563.047:    -79  78  10  766
1477480563.047:    -74  78  10  766
1477480563.047:    -75  78  10  766
1477480563.047:    -82  78  10  766
1477480563.048:    -85  78  10  766
1477480563.048:    -85  78  10  766
1477480563.048:    -86  78  10  766
1477480563.048:    -94  78  10  766
1477480563.048:   -101  78  10  766
1477480563.048:   -100  78  10  766
1477480563.049:    -90  78  10  766
1477480563.049:    -84  78  10  766
1477480563.049:    -88  78  10  766
1477480563.049:    -93  78  10  766
1477480563.049:    -83  78  10  766
1477480563.049:    -61  78  10  766
1477480563.050:    -41  78  10  766
1477480563.050:    -36  78  10  766
1477480563.052:    -37  78  10  766
1477480563.053:    -28  78  10  766
1477480563.053:     -4  78  10  766
1477480563.054:     20  78  10  766
1477480563.055:     31  78  10  766
1477480563.056:     28  78  10  766
1477480563.056:     27  78  10  766
1477480563.056:     35  78  10  766
1477480563.056:     44  78  10  766
1477480563.059:     46  78  10  766
1477480563.061:     41  78  10  766
1477480563.062:     36  78  10  766
1477480563.066:     34  78  10  766
1477480563.066:     30  78  10  766
1477480563.077:     23  78  10  766
1477480563.077:     19  78  10  766
1477480563.077:     26  78  10  766
1477480563.077:     37  78  10  766
1477480563.077:     40  78  10  766
1477480563.080:     32  78  10  766
1477480563.080:     25  78  10  766
1477480563.082:     33  78  10  766
1477480563.085:     57  78  10  766
1477480563.086:     81  78  10  766
1477480563.098:     90  78  10  766
1477480563.098:     87  78  10  766
1477480563.098:     87  78  10  766
1477480563.098:     97  78  10  766
1477480563.108:    114  78  10  766
1477480563.109:    129  78  10  766
1477480563.112:    138  78  10  766
1477480563.112:    141  78  10  766
1477480563.113:    141  78  10  766
1477480563.113:    142  78  10  766
1477480563.114:    148  78  10  766
1477480563.114:    164  78  10  766
1477480563.114:    188  78  10  766
1477480563.114:    210  78  10  766
1477480563.115:    224  78  10  766
1477480563.121:    237  78  10  766
1477480563.123:    259  78  10  766
1477480563.125:    297  78  10  766
1477480563.140:    340  78  10  766
1477480563.141:    373  78  10  766
1477480563.142:    385  78  10  766
1477480563.143:    370  78  10  766
1477480563.143:    328  78  10  766
1477480563.144:    263  78  10  766
1477480563.145:    177  78  10  766
1477480563.146:     79  78  10  766
1477480563.147:    -22  78  10  766
1477480563.148:   -123  78  10  766
1477480563.159:   -221  78  10  766
1477480563.159:   -309  78  10  766
1477480563.159:   -375  78  10  766
1477480563.160:   -413  78  10  766
1477480563.160:   -429  78  10  766
1477480563.160:   -437  78  10  766
1477480563.161:   -450  78  10  766
1477480563.161:   -467  78  10  766
1477480563.164:   -483  78  10  766
1477480563.165:   -501  78  10  766
1477480563.166:   -530  78  10  766
1477480563.167:   -572  78  10  766
1477480563.178:   -619  78  10  766
1477480563.178:   -656  78  10  766
1477480563.178:   -676  78  10  766
1477480563.178:   -682  78  10  766
1477480563.178:   -679  78  10  766
1477480563.179:   -665  78  10  766
1477480563.180:   -634  78  10  766
1477480563.183:   -578  78  10  766
1477480563.183:   -499  78  10  766
1477480563.186:   -406  78  10  766
1477480563.215:   -312  78  10  766
1477480563.216:   -228  78  10  766
1477480563.217:   -162  78  10  766
1477480563.217:   -109  78  10  766
1477480563.218:    -59  78  10  766
1477480563.220:     -8  78  10  766
1477480563.220:     38  78  10  766
1477480563.221:     67  78  10  766
1477480563.222:     75  78  10  766
1477480563.223:     73  78  10  766
1477480563.223:     73  78  10  766
1477480563.224:     80  78  10  766
1477480563.225:     88  78  10  766
1477480563.225:     93  78  10  766
1477480563.226:     96  78  10  766
1477480563.227:    105  78  10  766
1477480563.228:    123  78  10  766
1477480563.228:    144  78  10  766
1477480563.229:    161  78  10  766
1477480563.230:    173  78  10  766
1477480563.231:    178  78  10  766
1477480563.231:    180  78  10  766
1477480563.231:    179  78  10  766
1477480563.232:    175  78  10  766
1477480563.233:    171  78  10  766
1477480563.234:    167  78  10  766
1477480563.240:    163  78  10  766
1477480563.240:    157  78  10  766
1477480563.249:    148  78  10  766
1477480563.249:    139  78  10  766
1477480563.249:    131  78  10  766
1477480563.249:    124  78  10  766
1477480563.249:    109  78  10  766
1477480563.251:     82  78  10  766
1477480563.253:     41  78  10  766
1477480563.257:    -17  78  10  766
1477480563.258:    -90  78  10  766
1477480563.259:   -154  78  10  766
1477480563.260:   -156  78  10  766
1477480563.262:    -34  78  10  766
1477480563.264:    213  78  10  766
1477480563.267:    477  78  10  766
1477480563.268:    597  78  10  766
1477480563.271:    497  78  10  766
1477480563.284:    255  78  10  766
1477480563.284:     -9  78  10  766
1477480563.284:   -284  78  10  766
1477480563.284:   -703  78  10  766
1477480563.284:  -1436  78  10  766
1477480563.284:  -2586  78  10  766
1477480563.285:  -4220  78  10  766
1477480563.287:  -6420  78  10  766
1477480563.292:  -9181  78  10  766
1477480563.293: -12232  78  10  766
1477480563.303: -15065  78  10  766
1477480563.303: -17243  78  10  766
1477480563.303: -18666  78  10  766
1477480563.303: -19470  78  10  766
1477480563.304: -19638  78  10  766
1477480563.304: -18834  78  10  766
1477480563.304: -16726  78  10  766
1477480563.306: -13462  78  10  766
1477480563.307:  -9728  78  10  766
1477480563.310:  -6292  78  10  766
1477480563.312:  -3508  78  10  766
1477480563.313:  -1287  78  10  766
1477480563.323:    526  78  10  766
1477480563.323:   1875  78  10  766
1477480563.323:   2582  78  10  766
1477480563.323:   2639  78  10  766
1477480563.323:   2306  78  10  766
1477480563.324:   1938  78  10  766
1477480563.327:   1754  78  10  766
1477480563.331:   1797  78  10  766
1477480563.332:   2035  78  10  766
1477480563.333:   2447  78  10  766
1477480563.337:   3002  78  10  766
1477480563.338:   3602  78  10  766
1477480563.355:   4096  78  10  766
1477480563.356:   4367  78  10  766
1477480563.359:   4393  78  10  766
1477480563.360:   4236  78  10  766
1477480563.361:   4001  78  10  766
1477480563.364:   3788  78  10  766
1477480563.365:   3659  78  10  766
1477480563.366:   3646  78  10  766
1477480563.367:   3735  78  10  766
1477480563.368:   3868  78  10  766
1477480563.369:   3974  78  10  766
1477480563.369:   3998  78  10  766
1477480563.371:   3926  78  10  766
1477480563.371:   3782  78  10  766
1477480563.371:   3610  78  10  766
1477480563.372:   3456  78  10  766
1477480563.373:   3354  78  10  766
1477480563.374:   3317  78  10  766
1477480563.388:   3325  78  10  766
1477480563.389:   3344  78  10  766
1477480563.389:   3339  78  10  766
1477480563.391:   3299  78  10  766
1477480563.391:   3231  78  10  766
1477480563.392:   3152  78  10  766
1477480563.392:   3069  78  10  766
1477480563.393:   2987  78  10  766
1477480563.394:   2915  78  10  766
1477480563.401:   2862  78  10  766
1477480563.410:   2827  78  10  766
1477480563.410:   2800  78  10  766
1477480563.411:   2765  78  10  766
1477480563.411:   2717  78  10  766
1477480563.413:   2663  78  10  766
1477480563.414:   2612  78  10  766
1477480563.414:   2561  78  10  766
1477480563.414:   2509  78  10  766
1477480563.415:   2460  78  10  766
1477480563.415:   2424  78  10  766
1477480563.416:   2406  78  10  766
1477480563.417:   2392  78  10  766
1477480563.417:   2367  78  10  766
1477480563.419:   2326  78  10  766
1477480563.429:   2285  78  10  766
1477480563.430:   2254  78  10  766
1477480563.430:   2232  78  10  766
1477480563.430:   2208  78  10  768
1477480563.430:   2174  78  10  768
1477480563.431:   2136  78  10  768
