timestamp: ADC HeartRate4sAverage HeartRate30sAverage HRV8sAverage
1477480570.269:    276  71   9  823
1477480570.272:    226  71   9  823
1477480570.273:    168  71   9  823
1477480570.277:     99  71   9  823
1477480570.277:     22  71   9  823
1477480570.279:    -59  71   9  823
1477480570.282:   -144  71   9  823
1477480570.299:   -238  71   9  823
1477480570.299:   -345  71   9  823
1477480570.300:   -467  71   9  823
1477480570.300:   -598  71   9  823
1477480570.301:   -732  71   9  823
1477480570.301:   -870  71   9  823
1477480570.302:  -1014  71   9  823
1477480570.306:  -1162  71   9  823
1477480570.307:  -1309  71   9  823
1477480570.308:  -1444  71   9  823
1477480570.309:  -1566  71   9  823
1477480570.309:  -1678  71   9  823
1477480570.311:  -1782  71   9  823
1477480570.311:  -1875  71   9  823
1477480570.312:  -1951  71   9  823
1477480570.313:  -2007  71   9  823
1477480570.385:  -2044  71   9  823
1477480570.386:  -2063  71   9  823
1477480570.386:  -2063  71   9  823
1477480570.386:  -2045  71   9  823
1477480570.386:  -2011  71   9  823
1477480570.386:  -1962  71   9  823
1477480570.386:  -1900  71   9  823
1477480570.387:  -1828  71   9  823
1477480570.387:  -1749  71   9  823
1477480570.387:  -1667  71   9  823
1477480570.387:  -1580  71   9  823
1477480570.387:  -1486  71   9  823
1477480570.387:  -1386  71   9  823
1477480570.388:  -1287  71   9  823
1477480570.388:  -1190  71   9  823
1477480570.388:  -1092  71   9  823
1477480570.388:   -990  71   9  823
1477480570.388:   -886  71   9  823
1477480570.388:   -791  71   9  823
1477480570.388:   -706  71   9  823
1477480570.388:   -627  71   9  823
1477480570.389:   -548  71   9  823
1477480570.389:   -468  71   9  823
1477480570.389:   -396  71   9  823
1477480570.389:   -334  71   9  823
1477480570.389:   -277  71   9  823
1477480570.390:   -221  71   9  823
1477480570.390:   -165  71   9  823
1477480570.390:   -114  71   9  823
1477480570.390:    -74  71   9  823
1477480570.390:    -44  71   9  823
1477480570.390:    -17  71   9  823
1477480570.391:     10  71   9  823
1477480570.391:     37  71   9  823
1477480570.391:     58  71   9  823
1477480570.391:     68  71   9  823
1477480570.391:     69  71   9  823
1477480570.391:     68  71   9  823
1477480570.392:     70  71   9  823
1477480570.392:     76  71   9  823
1477480570.399:     79  71   9  823
1477480570.400:     75  71   9  823
1477480570.401:     65  71   9  823
1477480570.401:     55  71   9  823
1477480570.402:     47  71   9  823
1477480570.403:     42  71   9  823
1477480570.404:     36  71   9  823
1477480570.407:     28  71   9  823
1477480570.409:     19  71   9  823
1477480570.413:     13  71   9  823
1477480570.433:     12  71   9  823
1477480570.433:     15  71   9  823
1477480570.433:     14  71   9  823
1477480570.434:      6  71   9  823
1477480570.434:     -9  71   9  823
1477480570.435:    -20  71   9  823
1477480570.435:    -22  71   9  823
1477480570.435:    -22  71   9  823
1477480570.435:    -28  71   9  823
1477480570.435:    -42  71   9  823
1477480570.435:    -52  71   9  823
1477480570.435:    -51  71   9  823
1477480570.438:    -42  71   9  823
1477480570.441:    -36  71   9  823
1477480570.453:    -36  71   9  823
1477480570.454:    -35  71   9  823
1477480570.454:    -28  71   9  823
1477480570.455:    -19  71   9  823
1477480570.456:    -17  71   9  823
1477480570.456:    -25  71   9  823
1477480570.457:    -34  71   9  823
1477480570.458:    -38  71   9  823
1477480570.458:    -37  71   9  823
1477480570.458:    -34  71   9  823
1477480570.459:    -33  71   9  823
1477480570.465:    -30  71   9  823
1477480570.473:    -24  71   9  823
1477480570.473:    -17  71   9  823
1477480570.473:    -11  71   9  823
1477480570.474:     -7  71   9  823
1477480570.474:     -4  71   9  823
1477480570.474:     -2  71   9  823
1477480570.475:      2  71   9  823
1477480570.480:      8  71   9  823
1477480570.483:     16  71   9  823
1477480570.483:     23  71   9  823
1477480570.485:     28  71   9  823
1477480570.486:     33  71   9  823
1477480570.488:     43  71   9  823
1477480570.489:     59  71   9  823
1477480570.491:     76  71   9  823
1477480570.493:     84  71   9  823
1477480570.495:     82  71   9  823
1477480570.496:     76  71   9  823
1477480570.501:     73  71   9  823
1477480570.502:     77  71   9  823
1477480570.504:     82  71   9  823
1477480570.505:     81  71   9  823
1477480570.506:     73  71   9  823
1477480570.509:     65  71   9  823
1477480570.525:     64  71   9  823
1477480570.525:     71  71   9  823
1477480570.526:     77  71   9  823
1477480570.526:     77  71   9  823
1477480570.526:     72  71   9  823
1477480570.526:     74  71   9  823
1477480570.527:     84  71   9  823
1477480570.527:     95  71   9  823
1477480570.528:     95  71   9  823
1477480570.529:     85  71   9  823
1477480570.530:     76  71   9  823
1477480570.532:     79  71   9  823
1477480570.536:     92  71   9  823
1477480570.536:    104  71   9  823
1477480570.546:    105  71   9  823
1477480570.547:     98  71   9  823
1477480570.547:     94  71   9  823
1477480570.547:     98  71   9  823
1477480570.547:    106  71   9  823
1477480570.548:    110  71   9  823
1477480570.549:    106  71   9  823
1477480570.556:     97  71   9  823
1477480570.556:     90  71   9  823
1477480570.557:     88  71   9  823
1477480570.558:     87  71   9  823
1477480570.560:     84  71   9  823
1477480570.561:     75  71   9  823
1477480570.564:     65  71   9  823
1477480570.575:     60  71   9  823
1477480570.575:     61  71   9  823
1477480570.576:     66  71   9  823
1477480570.576:     70  71   9  823
1477480570.576:     68  71   9  823
1477480570.578:     62  71   9  823
1477480570.579:     57  71   9  823
1477480570.580:     60  71   9  823
1477480570.582:     70  71   9  823
1477480570.583:     81  71   9  823
1477480570.587:     86  71   9  823
1477480570.588:     81  71   9  823
1477480570.589:     72  71   9  823
1477480570.591:     64  71   9  823
1477480570.596:     63  71   9  823
1477480570.596:     67  71   9  823
1477480570.598:     70  71   9  823
1477480570.599:     67  71   9  823
1477480570.601:     59  71   9  823
1477480570.606:     54  71   9  823
1477480570.606:     58  71   9  823
1477480570.608:     72  71   9  823
1477480570.627:     89  71   9  823
1477480570.627:    105  71   9  823
1477480570.627:    119  71   9  823
1477480570.627:    134  71   9  823
1477480570.627:    155  71   9  823
1477480570.627:    183  71   9  823
1477480570.628:    215  71   9  823
1477480570.628:    248  71   9  823
1477480570.628:    280  71   9  823
1477480570.629:    314  71   9  823
1477480570.630:    350  71   9  823
1477480570.630:    386  71   9  823
1477480570.633:    415  71   9  823
1477480570.637:    439  71   9  823
1477480570.648:    460  71   9  823
1477480570.648:    477  71   9  823
1477480570.648:    480  71   9  823
1477480570.648:    449  71   9  823
1477480570.648:    380  71   9  823
1477480570.649:    286  71   9  823
1477480570.653:    189  71   9  823
1477480570.653:    100  71   9  823
1477480570.653:     12  71   9  823
1477480570.654:    -81  71   9  823
1477480570.655:   -175  71   9  823
1477480570.659:   -255  71   9  823
1477480570.674:   -312  71   9  823
1477480570.674:   -351  71   9  823
1477480570.674:   -379  71   9  823
1477480570.674:   -403  71   9  823
1477480570.675:   -428  71   9  823
1477480570.675:   -457  71   9  823
1477480570.675:   -496  71   9  823
1477480570.676:   -543  71   9  823
1477480570.679:   -589  71   9  823
1477480570.679:   -624  71   9  823
1477480570.681:   -646  71   9  823
1477480570.682:   -661  71   9  823
1477480570.689:   -674  71   9  823
1477480570.689:   -683  71   9  823
1477480570.689:   -680  71   9  823
1477480570.692:   -662  71   9  823
1477480570.693:   -625  71   9  823
1477480570.694:   -572  71   9  823
1477480570.695:   -509  71   9  823
1477480570.696:   -441  71   9  823
1477480570.713:   -369  71   9  823
1477480570.713:   -294  71   9  823
1477480570.713:   -218  71   9  823
1477480570.713:   -145  71   9  823
1477480570.713:    -77  71   9  823
1477480570.713:    -17  71   9  823
1477480570.713:     36  71   9  823
1477480570.714:     75  71   9  823
1477480570.716:     93  71   9  823
1477480570.717:     88  71   9  823
1477480570.719:     74  71   9  823
1477480570.720:     67  71   9  823
1477480570.725:     71  71   9  823
1477480570.725:     82  71   9  823
1477480570.735:     89  71   9  823
1477480570.735:     93  71   9  823
1477480570.735:    104  71   9  823
1477480570.736:    128  71   9  823
1477480570.736:    157  71   9  823
1477480570.739:    178  71   9  823
1477480570.739:    186  71   9  823
1477480570.741:    188  71   9  823
1477480570.742:    195  71   9  823
1477480570.745:    209  71   9  823
1477480570.748:    222  71   9  823
1477480570.748:    227  71   9  823
1477480570.754:    220  71   9  823
1477480570.755:    204  71   9  823
1477480570.756:    187  71   9  823
1477480570.757:    172  71   9  823
1477480570.759:    161  71   9  823
1477480570.761:    144  71   9  823
1477480570.763:    109  71   9  823
1477480570.767:     49  71   9  823
1477480570.768:    -29  71   9  823
1477480570.768:   -112  71   9  823
1477480570.791:   -174  71   9  823
1477480570.794:   -182  71   9  823
1477480570.811:    -84  71   9  823
1477480570.812:    146  71   9  823
1477480570.812:    458  71   9  823
1477480570.812:    705  71   9  823
1477480570.812:    741  71   9  823
1477480570.812:    544  71   9  823
1477480570.813:    229  71   9  823
1477480570.813:    -84  71   9  823
1477480570.813:   -432  71   9  823
1477480570.813:  -1034  71   9  823
1477480570.813:  -2148  71   9  823
1477480570.813:  -3912  71   9  823
1477480570.814:  -6311  71   9  823
1477480570.814:  -9217  71   9  823
1477480570.814: -12408  71   9  823
1477480570.814: -15549  71   9  823
1477480570.814: -18273  71   9  823
1477480570.814: -20337  71   9  823
1477480570.815: -21680  71   9  823
1477480570.815: -22269  71   9  823
1477480570.817: -21893  71   9  823
1477480570.817: -20229  71   9  823
1477480570.820: -17203  71   9  823
1477480570.820: -13268  71   9  823
1477480570.821:  -9240  71   9  823
1477480570.823:  -5777  71   9  823
1477480570.824:  -3030  71   9  823
1477480570.830:   -796  71   9  823
1477480570.846:   1065  71   9  823
1477480570.846:   2412  71   9  823
1477480570.846:   3038  71   9  823
1477480570.847:   2979  71   9  823
1477480570.847:   2576  71   9  823
1477480570.847:   2227  71   9  823
1477480570.847:   2148  71   9  823
1477480570.847:   2338  71   9  823
1477480570.849:   2726  71   9  823
1477480570.849:   3252  71   9  823
1477480570.849:   3851  71   9  823
1477480570.851:   4406  71   9  823
1477480570.852:   4784  71   9  823
1477480570.854:   4915  71   9  823
1477480570.857:   4832  71   9  823
1477480570.861:   4640  71   9  823
1477480570.861:   4447  71   9  823
1477480570.863:   4316  71   9  831
1477480570.864:   4269  71   9  831
1477480570.867:   4301  71   9  831
1477480570.876:   4383  71   9  831
1477480570.877:   4474  71   9  831
1477480570.877:   4535  71   9  831
1477480570.877:   4536  71   9  831
1477480570.877:   4466  71   9  831
1477480570.878:   4341  71   9  831
1477480570.882:   4197  71   9  831
1477480570.882:   4071  71   9  831
1477480570.885:   3986  71   9  831
1477480570.889:   3943  71   9  831
1477480570.898:   3924  71   9  831
1477480570.898:   3905  71   9  831
1477480570.898:   3868  71   9  831
1477480570.898:   3805  71   9  831
1477480570.898:   3721  71   9  831
1477480570.900:   3626  71   9  831
1477480570.903:   3535  71   9  831
1477480570.903:   3453  71   9  831
1477480570.905:   3381  71   9  831
1477480570.909:   3319  71   9  831
1477480570.909:   3265  71   9  831
1477480570.913:   3220  71   9  831
1477480570.914:   3181  71   9  831
1477480570.916:   3138  71   9  831
1477480570.916:   3082  71   9  831
1477480570.918:   3016  71   9  831
1477480570.919:   2949  71   9  831
1477480570.920:   2894  71   9  831
1477480570.923:   2850  71   9  831
1477480570.925:   2810  71   9  831
1477480570.938:   2766  71   9  831
1477480570.938:   2717  71   9  831
1477480570.938:   2669  71   9  831
1477480570.938:   2623  71   9  831
1477480570.938:   2577  71   9  831
1477480570.939:   2525  71   9  831
1477480570.939:   2473  71   9  831
1477480570.940:   2424  71   9  831
1477480570.943:   2380  71   9  831
1477480570.947:   2338  71   9  831
1477480570.949:   2296  71   9  831
1477480570.949:   2257  71   9  831
1477480570.985:   2220  71   9  831
1477480570.986:   2184  71   9  831
1477480570.987:   2145  71   9  831
1477480570.987:   2107  71   9  831
1477480570.988:   2074  71   9  831
1477480570.989:   2041  71   9  831
1477480570.989:   2003  71   9  831
1477480570.990:   1963  71   9  831
1477480570.993:   1930  71   9  831
1477480570.994:   1909  71   9  831
1477480570.995:   1893  71   9  831
1477480570.996:   1868  71   9  831
1477480571.010:   1832  71   9  831
1477480571.012:   1798  71   9  831
1477480571.013:   1777  71   9  831
1477480571.013:   1767  71   9  831
1477480571.014:   1752  71   9  831
1477480571.014:   1724  71   9  831
1477480571.014:   1692  71   9  831
1477480571.014:   1668  71   9  831
1477480571.015:   1651  71   9  831
1477480571.015:   1635  71   9  831
1477480571.015:   1613  71   9  831
1477480571.015:   1587  71   9  831
1477480571.015:   1563  71   9  831
1477480571.016:   1543  71   9  831
1477480571.016:   1524  71   9  831
1477480571.016:   1504  71   9  831
1477480571.016:   1482  71   9  831
1477480571.017:   1464  71   9  831
1477480571.017:   1449  71   9  831
1477480571.017:   1433  71   9  831
1477480571.017:   1411  71   9  831
1477480571.017:   1380  71   9  831
1477480571.018:   1346  71   9  831
1477480571.020:   1319  71   9  831
1477480571.022:   1305  71   9  831
1477480571.022:   1297  71   9  831
1477480571.025:   1282  71   9  831
1477480571.027:   1255  71   9  831
1477480571.029:   1223  71   9  831
1477480571.030:   1200  71   9  831
1477480571.035:   1191  71   9  831
1477480571.036:   1187  71   9  831
1477480571.049:   1177  71   9  831
1477480571.050:   1155  71   9  831
1477480571.050:   1127  71   9  831
1477480571.050:   1104  71   9  831
1477480571.050:   1086  71   9  831
1477480571.050:   1070  71   9  831
1477480571.051:   1055  71   9  831
1477480571.057:   1041  71   9  831
1477480571.057:   1025  71   9  831
1477480571.058:   1006  71   9  831
1477480571.058:    985  71   9  831
1477480571.058:    969  71   9  831
1477480571.064:    964  71   9  831
1477480571.064:    965  71   9  831
1477480571.074:    963  71   9  831
1477480571.075:    954  71   9  831
1477480571.075:    939  71   9  831
1477480571.075:    925  71   9  831
1477480571.075:    917  71   9  831
1477480571.075:    912  71   9  831
1477480571.075:    906  71   9  831
1477480571.080:    898  71   9  831
1477480571.081:    887  71   9  831
1477480571.085:    871  71   9  831
1477480571.086:    855  71   9  831
1477480571.087:    841  71   9  831
1477480571.088:    831  71   9  831
1477480571.089:    819  71   9  831
1477480571.092:    798  71   9  831
1477480571.094:    772  71   9  831
1477480571.099:    749  71   9  831
1477480571.099:    736  71   9  831
1477480571.100:    727  71   9  831
1477480571.101:    710  71   9  831
1477480571.119:    684  71   9  831
1477480571.120:    657  71   9  831
1477480571.121:    638  71   9  831
1477480571.122:    623  71   9  831
1477480571.123:    600  71   9  831
1477480571.123:    561  71   9  831
1477480571.124:    515  71   9  831
1477480571.125:    474  71   9  831
1477480571.127:    441  71   9  831
1477480571.128:    410  71   9  831
1477480571.141:    374  71   9  831
1477480571.141:    334  71   9  831
1477480571.141:    295  71   9  831
1477480571.141:    258  71   9  831
1477480571.141:    217  71   9  831
1477480571.165:    166  71   9  831
1477480571.226:    106  71   9  831
1477480571.226:     41  71   9  831
1477480571.226:    -30  71   9  831
1477480571.226:   -115  71   9  831
1477480571.244:   -216  71   9  831
1477480571.244:   -330  71   9  831
1477480571.244:   -447  71   9  831
1477480571.245:   -564  71   9  831
1477480571.245:   -687  71   9  831
1477480571.245:   -821  71   9  831
1477480571.245:   -961  71   9  831
1477480571.246:  -1099  71   9  831
1477480571.246:  -1232  71   9  831
1477480571.246:  -1364  71   9  831
1477480571.247:  -1503  71   9  831
1477480571.247:  -1643  71   9  831
1477480571.247:  -1773  71   9  831
1477480571.248:  -1884  71   9  831
1477480571.248:  -1975  71   9  831
1477480571.248:  -2055  71   9  831
1477480571.248:  -2132  71   9  831
1477480571.248:  -2203  71   9  831
1477480571.249:  -2257  71   9  831
1477480571.249:  -2287  71   9  831
1477480571.249:  -2290  71   9  831
1477480571.249:  -2275  71   9  831
1477480571.250:  -2249  71   9  831
1477480571.250:  -2214  71   9  831
1477480571.262:  -2163  71   9  831
1477480571.263:  -2092  71   9  831
1477480571.263:  -2004  71   9  831
1477480571.263:  -1910  71   9  831
1477480571.263:  -1817  71   9  831
1477480571.264:  -1724  71   9  831
1477480571.264:  -1626  71   9  831
1477480571.264:  -1521  71   9  831
1477480571.264:  -1417  71   9  831
1477480571.264:  -1322  71   9  831
1477480571.264:  -1236  71   9  831
1477480571.265:  -1151  71   9  831
1477480571.265:  -1057  71   9  831
1477480571.265:   -953  71   9  831
1477480571.265:   -853  71   9  831
1477480571.266:   -767  71   9  831
1477480571.266:   -696  71   9  831
1477480571.268:   -627  71   9  831
1477480571.268:   -552  71   9  831
1477480571.268:   -478  71   9  831
1477480571.268:   -417  71   9  831
1477480571.269:   -377  71   9  831
1477480571.270:   -350  71   9  831
1477480571.270:   -323  71   9  831
1477480571.271:   -292  71   9  831
1477480571.271:   -262  71   9  831
1477480571.272:   -239  71   9  831
1477480571.272:   -221  71   9  831
1477480571.272:   -205  71   9  831
1477480571.272:   -186  71   9  831
1477480571.272:   -171  71   9  831
1477480571.273:   -164  71   9  831
1477480571.273:   -165  71   9  831
1477480571.273:   -167  71   9  831
1477480571.273:   -166  71   9  831
1477480571.273:   -163  71   9  831
1477480571.274:   -163  71   9  831
1477480571.274:   -166  71   9  831
1477480571.274:   -169  71   9  831
1477480571.274:   -168  71   9  831
1477480571.274:   -164  71   9  831
1477480571.274:   -163  71   9  831
1477480571.275:   -167  71   9  831
1477480571.275:   -176  71   9  831
1477480571.277:   -183  71   9  831
1477480571.283:   -185  71   9  831
1477480571.283:   -185  71   9  831
1477480571.283:   -189  71   9  831
1477480571.284:   -197  71   9  831
1477480571.286:   -206  71   9  831
1477480571.298:   -212  71   9  831
1477480571.298:   -215  71   9  831
1477480571.298:   -219  71   9  831
1477480571.298:   -224  71   9  831
1477480571.299:   -228  71   9  831
1477480571.299:   -230  71   9  831
1477480571.300:   -232  71   9  831
1477480571.305:   -234  71   9  831
1477480571.305:   -236  71   9  831
1477480571.308:   -237  71   9  831
1477480571.309:   -239  71   9  831
1477480571.311:   -243  71   9  831
1477480571.324:   -249  71   9  831
1477480571.324:   -255  71   9  831
1477480571.325:   -255  71   9  831
1477480571.325:   -249  71   9  831
1477480571.325:   -240  71   9  831
1477480571.326:   -232  71   9  831
1477480571.328:   -227  71   9  831
1477480571.328:   -225  71   9  831
1477480571.330:   -223  71   9  831
1477480571.331:   -224  71   9  831
1477480571.332:   -225  71   9  831
1477480571.336:   -224  71   9  831
1477480571.356:   -217  71   9  831
1477480571.356:   -208  71   9  831
1477480571.357:   -200  71   9  831
1477480571.357:   -195  71   9  831
1477480571.357:   -188  71   9  831
1477480571.357:   -173  71   9  831
1477480571.358:   -154  71   9  831
1477480571.358:   -140  71   9  831
1477480571.358:   -139  71   9  831
1477480571.359:   -144  71   9  831
1477480571.364:   -146  71   9  831
1477480571.364:   -139  71   9  831
1477480571.364:   -129  71   9  831
1477480571.364:   -122  71   9  831
1477480571.364:   -122  71   9  831
1477480571.365:   -124  71   9  831
1477480571.368:   -123  71   9  831
1477480571.368:   -120  71   9  831
1477480571.371:   -116  71   9  831
1477480571.373:   -116  71   9  831
1477480571.374:   -122  71   9  831
1477480571.377:   -129  71   9  831
1477480571.388:   -131  71   9  831
1477480571.388:   -125  71   9  831
1477480571.388:   -115  71   9  831
1477480571.389:   -110  71   9  831
1477480571.410:   -110  71   9  831
1477480571.411:   -111  71   9  831
1477480571.413:   -107  71   9  831
1477480571.416:   -103  71   9  831
1477480571.416:   -110  71   9  831
1477480571.416:   -133  71   9  831
1477480571.416:   -162  71   9  831
1477480571.417:   -189  71   9  831
1477480571.417:   -211  71   9  831
1477480571.417:   -236  71   9  831
1477480571.417:   -266  71   9  831
1477480571.418:   -293  71   9  831
1477480571.418:   -311  71   9  831
1477480571.418:   -315  71   9  831
1477480571.418:   -314  71   9  831
1477480571.420:   -312  71   9  831
1477480571.421:   -311  71   9  831
1477480571.421:   -310  71   9  831
1477480571.431:   -310  71   9  831
1477480571.431:   -314  71   9  831
1477480571.442:   -323  71   9  831
1477480571.442:   -333  71   9  831
1477480571.442:   -340  71   9  831
1477480571.442:   -346  71   9  831
1477480571.442:   -352  71   9  831
1477480571.443:   -359  71   9  831
1477480571.443:   -361  71   9  831
1477480571.443:   -355  71   9  831
1477480571.443:   -341  71   9  831
1477480571.446:   -328  71   9  831
1477480571.446:   -324  71   9  831
1477480571.448:   -324  71   9  831
1477480571.451:   -319  71   9  831
1477480571.451:   -307  71   9  831
1477480571.454:   -294  71   9  831
1477480571.455:   -288  71   9  831
1477480571.465:   -292  71   9  831
1477480571.466:   -298  71   9  831
1477480571.466:   -299  71   9  831
1477480571.466:   -292  71   9  831
1477480571.466:   -279  71   9  831
1477480571.468:   -264  71   9  831
1477480571.469:   -250  71   9  831
1477480571.470:   -239  71   9  831
1477480571.472:   -229  71   9  831
1477480571.477:   -210  71   9  831
1477480571.478:   -178  71   9  831
1477480571.479:   -136  71   9  831
1477480571.481:    -93  71   9  831
1477480571.482:    -59  71   9  831
1477480571.487:    -30  71   9  831
1477480571.488:      1  71   9  831
1477480571.489:     36  71   9  831
1477480571.492:     73  71   9  831
1477480571.493:    103  71   9  831
1477480571.496:    116  71   9  831
1477480571.496:    105  71   9  831
1477480571.498:     66  71   9  831
1477480571.500:      2  71   9  831
1477480571.506:    -76  71   9  831
1477480571.523:   -160  71   9  831
1477480571.523:   -247  71   9  831
1477480571.523:   -338  71   9  831
1477480571.523:   -429  71   9  831
1477480571.523:   -513  71   9  831
1477480571.523:   -586  71   9  831
1477480571.523:   -646  71   9  831
1477480571.524:   -690  71   9  831
1477480571.524:   -715  71   9  831
1477480571.524:   -726  71   9  831
1477480571.524:   -739  71   9  831
1477480571.525:   -768  71   9  831
1477480571.528:   -809  71   9  831
1477480571.532:   -848  71   9  831
1477480571.533:   -873  71   9  831
1477480571.534:   -887  71   9  831
1477480571.535:   -899  71   9  831
1477480571.536:   -909  71   9  831
1477480571.539:   -909  71   9  831
1477480571.541:   -892  71   9  831
1477480571.552:   -861  71   9  831
1477480571.552:   -825  71   9  831
1477480571.552:   -783  71   9  831
1477480571.552:   -729  71   9  831
1477480571.553:   -662  71   9  831
1477480571.553:   -586  71   9  831
1477480571.557:   -511  71   9  831
1477480571.559:   -439  71   9  831
1477480571.560:   -370  71   9  831
1477480571.562:   -302  71   9  831
1477480571.563:   -240  71   9  831
1477480571.564:   -187  71   9  831
1477480571.566:   -145  71   9  831
1477480571.569:   -116  71   9  831
1477480571.579:    -99  71   9  831
1477480571.579:    -93  71   9  831
1477480571.579:    -93  71   9  831
1477480571.580:    -94  71   9  831
1477480571.580:    -87  71   9  831
1477480571.581:    -73  71   9  831
1477480571.585:    -54  71   9  831
1477480571.587:    -36  71   9  831
1477480571.588:    -21  71   9  831
1477480571.590:     -8  71   9  831
1477480571.590:      5  71   9  831
1477480571.592:     20  71   9  831
1477480571.594:     37  71   9  831
1477480571.598:     52  71   9  831
1477480571.615:     66  71   9  831
1477480571.616:     80  71   9  831
1477480571.617:     97  71   9  831
1477480571.617:    118  71   9  831
1477480571.618:    134  71   9  831
1477480571.619:    135  71   9  831
1477480571.621:    122  71   9  831
1477480571.622:    104  71   9  831
1477480571.622:     91  71   9  831
1477480571.623:     74  71   9  831
1477480571.624:     33  71   9  831
1477480571.624:    -43  71   9  831
1477480571.625:   -141  71   9  831
1477480571.626:   -231  71   9  831
1477480571.640:   -279  71   9  831
1477480571.641:   -252  71   9  831
1477480571.642:   -110  71   9  831
1477480571.643:    158  71   9  831
1477480571.645:    483  71   9  831
1477480571.646:    713  71   9  831
1477480571.647:    714  71   9  831
1477480571.648:    496  71   9  831
1477480571.661:    188  71   9  831
1477480571.662:   -113  71   9  831
1477480571.662:   -490  71   9  831
1477480571.663:  -1198  71   9  831
1477480571.663:  -2483  71   9  831
1477480571.663:  -4445  71   9  831
1477480571.664:  -7025  71   9  831
1477480571.664: -10059  71   9  831
1477480571.665: -13290  71   9  831
1477480571.665: -16372  71   9  831
1477480571.666: -18965  71   9  831
1477480571.666: -20876  71   9  831
1477480571.667: -22060  71   9  831
1477480571.667: -22431  71   9  831
1477480571.670: -21719  71   9  831
1477480571.670: -19639  71   9  831
1477480571.673: -16265  71   9  831
1477480571.674: -12195  71   9  831
1477480571.679:  -8251  71   9  831
1477480571.679:  -4956  71   9  831
1477480571.696:  -2326  71   9  831
1477480571.697:   -143  71   9  831
1477480571.697:   1639  71   9  831
1477480571.698:   2820  71   9  831
1477480571.698:   3239  71   9  831
1477480571.699:   3043  71   9  831
1477480571.699:   2627  71   9  831
1477480571.700:   2356  71   9  831
1477480571.701:   2372  71   9  831
1477480571.706:   2637  71   9  831
1477480571.707:   3081  71   9  831
1477480571.709:   3653  71   9  831
1477480571.710:   4272  71   9  831
1477480571.712:   4805  71   9  831
1477480571.714:   5129  71   9  831
1477480571.714:   5206  71   9  831
1477480571.717:   5096  71   9  831
1477480571.717:   4905  71   9  831
1477480571.738:   4725  71   9  831
1477480571.739:   4609  71   9  831
1477480571.739:   4578  71   9  831
1477480571.739:   4624  71   9  831
1477480571.740:   4711  71   9  831
1477480571.740:   4795  70   9  838
1477480571.740:   4837  70   9  838
1477480571.741:   4810  70   9  838
1477480571.741:   4711  70   9  838
1477480571.742:   4561  70   9  838
1477480571.743:   4401  70   9  838
1477480571.743:   4273  70   9  838
1477480571.744:   4198  70   9  838
1477480571.745:   4165  70   9  838
1477480571.746:   4151  70   9  838
1477480571.746:   4134  70   9  838
1477480571.748:   4103  70   9  838
1477480571.749:   4050  70   9  838
1477480571.759:   3972  70   9  838
1477480571.760:   3876  70   9  838
1477480571.760:   3780  70   9  838
1477480571.760:   3697  70   9  838
1477480571.761:   3630  70   9  838
1477480571.762:   3572  70   9  838
1477480571.763:   3516  70   9  838
1477480571.765:   3463  70   9  838
1477480571.770:   3413  70   9  838
1477480571.771:   3362  70   9  838
1477480571.772:   3301  70   9  838
1477480571.773:   3227  70   9  838
1477480571.777:   3149  70   9  838
1477480571.778:   3083  70   9  838
1477480571.779:   3034  70   9  838
1477480571.783:   2996  70   9  838
1477480571.784:   2958  70   9  838
1477480571.786:   2914  70   9  838
1477480571.787:   2866  70   9  838
1477480571.788:   2820  70   9  838
1477480571.803:   2781  70   9  838
1477480571.803:   2746  70   9  838
1477480571.803:   2707  70   9  838
1477480571.803:   2658  70   9  838
1477480571.803:   2605  70   9  838
1477480571.804:   2556  70   9  838
1477480571.804:   2518  70   9  838
1477480571.806:   2484  70   9  838
1477480571.807:   2447  70   9  838
1477480571.810:   2403  70   9  838
1477480571.810:   2356  70   9  838
1477480571.812:   2312  70   9  838
1477480571.814:   2273  70   9  838
1477480571.816:   2239  70   9  838
1477480571.820:   2208  70   9  838
1477480571.822:   2181  70   9  838
1477480571.830:   2156  70   9  838
1477480571.831:   2126  70   9  838
1477480571.832:   2091  70   9  838
1477480571.834:   2058  70   9  838
1477480571.834:   2035  70   9  838
1477480571.835:   2016  70   9  838
1477480571.837:   1991  70   9  838
1477480571.837:   1952  70   9  838
1477480571.838:   1907  70   9  838
1477480571.841:   1871  70   9  838
1477480571.844:   1850  70   9  838
1477480571.844:   1837  70   9  838
1477480571.845:   1817  70   9  838
1477480571.846:   1788  70   9  838
1477480571.849:   1758  70   9  838
1477480571.852:   1733  70   9  838
1477480571.853:   1709  70   9  838
1477480571.857:   1676  70   9  838
1477480571.871:   1628  70   9  838
1477480571.871:   1570  70   9  838
1477480571.871:   1509  70   9  838
1477480571.871:   1451  70   9  838
1477480571.871:   1398  70   9  838
1477480571.872:   1343  70   9  838
1477480571.872:   1285  70   9  838
1477480571.872:   1227  70   9  838
1477480571.874:   1177  70   9  838
1477480571.874:   1142  70   9  838
1477480571.877:   1119  70   9  838
1477480571.880:   1098  70   9  838
1477480571.881:   1072  70   9  838
1477480571.883:   1041  70   9  838
1477480571.893:   1011  70   9  838
1477480571.893:    986  70   9  838
1477480571.893:    968  70   9  838
1477480571.894:    950  70   9  838
1477480571.894:    928  70   9  838
1477480571.895:    901  70   9  838
1477480571.898:    874  70   9  838
