timestamp: ADC HeartRate4sAverage HeartRate30sAverage HRV8sAverage
1477480354.681:    217 106  14  581
1477480354.682:    227 106  14  581
1477480354.682:    210 106  14  581
1477480354.683:    154 106  14  581
1477480354.684:     63 106  14  581
1477480354.684:    -37 106  14  581
1477480354.685:   -108 106  14  581
1477480354.698:   -130 106  14  581
1477480354.698:   -112 106  14  581
1477480354.698:    -89 106  14  581
1477480354.698:    -84 106  14  581
1477480354.699:    -97 106  14  581
1477480354.699:   -117 106  14  581
1477480354.699:   -144 106  14  581
1477480354.701:   -189 106  14  581
1477480354.701:   -252 106  14  581
1477480354.704:   -318 106  14  581
1477480354.706:   -367 106  14  581
1477480354.707:   -387 106  14  581
1477480354.716:   -388 106  14  581
1477480354.717:   -384 106  14  581
1477480354.718:   -391 106  14  581
1477480354.718:   -416 106  14  581
1477480354.718:   -452 106  14  581
1477480354.719:   -476 106  14  581
1477480354.721:   -465 106  14  581
1477480354.723:   -420 106  14  581
1477480354.735:   -367 106  14  581
1477480354.735:   -338 106  14  581
1477480354.735:   -331 106  14  581
1477480354.735:   -318 106  14  581
1477480354.735:   -277 106  14  581
1477480354.736:   -221 106  14  581
1477480354.736:   -180 106  14  581
1477480354.737:   -173 106  14  581
1477480354.742:   -188 106  14  581
1477480354.742:   -205 106  14  581
1477480354.743:   -212 106  14  581
1477480354.750:   -210 106  14  581
1477480354.751:   -200 106  14  581
1477480354.754:   -178 106  14  581
1477480354.770:   -150 106  14  581
1477480354.772:   -129 106  14  581
1477480354.775:   -125 106  14  581
1477480354.776:   -131 106  14  581
1477480354.776:   -132 106  14  581
1477480354.777:   -124 106  14  581
1477480354.788:   -120 106  14  581
1477480354.789:   -133 106  14  581
1477480354.790:   -162 106  14  581
1477480354.790:   -193 106  14  581
1477480354.790:   -219 106  14  581
1477480354.791:   -245 106  14  581
1477480354.791:   -275 106  14  581
1477480354.792:   -305 106  14  581
1477480354.792:   -320 106  14  581
1477480354.792:   -317 106  14  581
1477480354.793:   -310 106  14  581
1477480354.793:   -318 106  14  581
1477480354.793:   -345 106  14  581
1477480354.794:   -370 106  14  581
1477480354.796:   -369 106  14  581
1477480354.796:   -350 106  14  581
1477480354.806:   -350 106  14  581
1477480354.807:   -397 106  14  581
1477480354.808:   -480 106  14  581
1477480354.808:   -554 106  14  581
1477480354.809:   -584 106  14  581
1477480354.810:   -580 106  14  581
1477480354.810:   -580 106  14  581
1477480354.811:   -607 106  14  581
1477480354.811:   -648 106  14  581
1477480354.815:   -677 106  14  581
1477480354.824:   -684 106  14  581
1477480354.825:   -685 106  14  581
1477480354.825:   -698 106  14  581
1477480354.828:   -725 106  14  581
1477480354.828:   -763 106  14  581
1477480354.829:   -805 106  14  581
1477480354.831:   -851 106  14  581
1477480354.831:   -889 106  14  581
1477480354.831:   -911 106  14  581
1477480354.834:   -922 106  14  581
1477480354.834:   -943 106  14  581
1477480354.836:   -988 106  14  581
1477480354.836:  -1043 106  14  581
1477480354.842:  -1074 106  14  581
1477480354.851:  -1065 106  14  581
1477480354.851:  -1034 106  14  581
1477480354.851:  -1016 106  14  581
1477480354.851:  -1023 106  14  581
1477480354.851:  -1038 106  14  581
1477480354.851:  -1038 106  14  581
1477480354.853:  -1017 106  14  581
1477480354.855:   -994 106  14  581
1477480354.858:   -991 106  14  581
1477480354.861:  -1011 106  14  581
1477480354.870:  -1039 106  14  581
1477480354.999:  -1053 106  14  581
1477480355.010:  -1040 106  14  581
1477480355.011:  -1014 106  14  581
1477480355.011:   -995 106  14  581
1477480355.011:   -994 106  14  581
1477480355.011:   -999 106  14  581
1477480355.011:   -989 106  14  581
1477480355.011:   -963 106  14  581
1477480355.011:   -940 106  14  581
1477480355.011:   -936 106  14  581
1477480355.012:   -940 106  14  581
1477480355.012:   -926 106  14  581
1477480355.012:   -885 106  14  581
1477480355.012:   -841 106  14  581
1477480355.012:   -827 106  14  581
1477480355.012:   -849 106  14  581
